,Unnamed: 0,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp
2036,2036,20000904,LAN,PIT,False,1,12,LOS03,Dodger Stadium,Los Angeles,CA,48,9,2,0,2,21,6,8,0,35,10,0,0,0,19,3,3,0
2037,2037,20000904,SDN,MIL,False,4,3,SAN01,Qualcomm Stadium,San Diego,CA,34,4,0,0,1,16,10,3,0,35,6,1,0,0,18,7,2,1
2038,2038,20000904,SFN,PHI,True,3,0,SFO03,Oracle Park,San Francisco,CA,35,4,0,0,0,18,8,5,0,32,2,0,0,3,16,6,5,0
2039,2039,20000904,SLN,MON,True,4,2,STL09,Busch Stadium II,St. Louis,MO,36,6,1,1,1,20,4,3,0,36,5,0,1,0,13,11,6,0
2040,2040,20000904,BOS,SEA,True,5,1,BOS07,Fenway Park,Boston,MA,35,4,2,0,1,15,12,1,0,33,4,2,1,0,19,5,2,0
2041,2041,20000904,CHA,TEX,True,4,5,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,43,8,4,0,1,19,7,3,1,39,8,1,0,2,21,4,3,0
2042,2042,20000904,CLE,TBA,True,5,1,CLE08,Progressive Field,Cleveland,OH,36,4,2,0,1,20,6,3,0,41,9,2,2,0,18,4,4,2
2043,2043,20000904,DET,ANA,False,5,0,DET05,Comerica Park,Detroit,MI,32,4,1,0,0,16,9,2,0,39,9,2,0,0,19,5,4,0
2044,2044,20000904,KCA,NYA,False,3,4,KAN06,Kauffman Stadium,Kansas City,MO,36,5,3,0,0,18,7,3,0,39,8,4,0,0,21,5,1,0
2045,2045,20000904,MIN,BAL,True,2,3,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,35,8,1,0,0,22,3,1,0,39,6,2,1,1,21,6,2,0
2046,2046,20000904,TOR,OAK,True,0,10,TOR02,Rogers Centre,Toronto,ONT,47,14,1,0,4,20,5,3,0,38,2,0,0,0,22,4,9,1
2047,2047,20000905,ATL,ARI,False,5,2,ATL02,Turner Field,Atlanta,GA,36,6,0,0,1,19,9,1,0,34,3,0,0,3,11,14,3,0
2048,2048,20000905,CIN,NYN,False,2,3,CIN08,Cinergy Field,Cincinnati,OH,36,4,1,0,1,21,8,1,0,43,7,1,0,0,23,6,6,0
2049,2049,20000905,COL,CHN,False,10,2,DEN02,Coors Field,Denver,CO,36,4,0,0,0,25,4,3,0,42,9,0,2,2,19,5,5,0
2050,2050,20000905,HOU,FLO,False,9,5,HOU03,Minute Maid Park,Houston,TX,39,6,1,0,2,19,8,2,1,42,12,1,1,1,18,5,4,0
2051,2051,20000905,LAN,PIT,False,0,8,LOS03,Dodger Stadium,Los Angeles,CA,48,12,2,0,1,23,5,5,0,35,6,0,0,0,19,8,1,1
2052,2052,20000905,SDN,MIL,False,3,1,SAN01,Qualcomm Stadium,San Diego,CA,36,3,0,0,0,16,12,5,0,32,3,0,0,2,18,4,5,0
2053,2053,20000905,SFN,PHI,False,8,5,SFO03,Oracle Park,San Francisco,CA,44,5,2,0,1,23,4,8,1,38,4,1,0,6,20,4,3,0
2054,2054,20000905,SLN,MON,False,7,6,STL09,Busch Stadium II,St. Louis,MO,36,1,1,0,2,21,6,5,0,36,4,1,0,2,18,6,5,0
2055,2055,20000905,BOS,OAK,False,10,3,BOS07,Fenway Park,Boston,MA,37,4,1,0,1,20,8,3,0,43,8,3,0,1,18,4,9,0
2056,2056,20000905,CHA,TEX,False,1,2,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,39,9,1,0,0,21,6,2,0,36,5,3,0,0,20,5,3,0
2057,2057,20000905,CLE,TBA,False,7,4,CLE08,Progressive Field,Cleveland,OH,36,3,1,0,1,18,9,4,0,40,6,2,0,1,20,5,5,1
2058,2058,20000905,DET,ANA,False,7,5,DET05,Comerica Park,Detroit,MI,39,5,3,2,0,18,7,3,1,35,6,3,0,1,17,6,2,0
2059,2059,20000905,KCA,NYA,False,5,10,KAN06,Kauffman Stadium,Kansas City,MO,48,12,2,0,3,20,5,6,0,40,9,1,0,0,22,3,5,0
2060,2060,20000905,MIN,BAL,False,5,6,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,42,7,3,0,0,23,3,6,0,43,7,7,0,0,18,7,3,1
2061,2061,20000905,TOR,SEA,False,3,4,TOR02,Rogers Centre,Toronto,ONT,38,5,2,0,0,23,2,6,0,37,5,1,0,0,22,5,3,1
2062,2062,20000906,ATL,ARI,False,7,1,ATL02,Turner Field,Atlanta,GA,32,3,3,0,0,18,8,0,0,35,6,1,0,0,22,3,2,1
2063,2063,20000906,CIN,NYN,True,11,8,CIN08,Cinergy Field,Cincinnati,OH,43,2,1,1,2,23,3,10,1,46,7,3,0,3,16,8,7,2
2064,2064,20000906,COL,CHN,True,5,8,DEN02,Coors Field,Denver,CO,44,8,2,1,2,26,5,0,0,50,6,4,0,1,30,5,2,2
2065,2065,20000906,HOU,FLO,False,13,5,HOU03,Minute Maid Park,Houston,TX,38,4,1,0,2,20,7,3,1,43,6,5,1,2,21,2,6,0
2066,2066,20000906,LAN,PIT,False,3,8,LOS03,Dodger Stadium,Los Angeles,CA,43,10,2,0,0,24,3,4,0,37,4,1,1,0,22,6,2,1
2067,2067,20000906,SDN,MIL,False,7,6,SAN01,Qualcomm Stadium,San Diego,CA,40,7,1,0,1,17,7,7,0,43,10,0,0,1,16,5,10,1
2068,2068,20000906,SFN,PHI,False,5,4,SFO03,Oracle Park,San Francisco,CA,38,9,1,1,0,15,10,2,0,34,4,1,0,1,17,5,5,1
2069,2069,20000906,SLN,MON,False,2,7,STL09,Busch Stadium II,St. Louis,MO,39,5,4,0,3,19,7,1,0,36,5,3,0,0,21,5,2,0
2070,2070,20000906,BOS,OAK,False,4,6,BOS07,Fenway Park,Boston,MA,41,10,2,0,1,20,7,1,0,38,7,0,0,2,19,6,4,0
2071,2071,20000906,CHA,TEX,False,13,1,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL,32,4,0,0,0,21,6,1,0,41,8,1,0,4,17,6,5,0
2072,2072,20000906,CLE,TBA,False,6,2,CLE08,Progressive Field,Cleveland,OH,33,3,0,0,1,17,10,2,0,38,9,0,0,2,22,1,4,0
2073,2073,20000906,DET,ANA,False,0,1,DET05,Comerica Park,Detroit,MI,36,5,4,0,0,22,3,2,0,31,2,0,0,0,19,7,3,0
2074,2074,20000906,KCA,NYA,False,3,2,KAN06,Kauffman Stadium,Kansas City,MO,35,5,2,0,2,21,4,1,0,37,10,2,0,0,18,6,1,0
2075,2075,20000906,MIN,BAL,False,4,1,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,35,4,2,0,0,21,6,1,1,33,7,2,0,0,11,12,1,0
2076,2076,20000906,TOR,SEA,False,7,3,TOR02,Rogers Centre,Toronto,ONT,37,3,1,0,2,23,2,4,2,37,8,4,0,0,18,4,2,1
2077,2077,20000907,ATL,ARI,False,4,0,ATL02,Turner Field,Atlanta,GA,32,4,0,0,0,22,6,0,0,36,11,1,0,0,15,8,1,0
2078,2078,20000907,HOU,FLO,True,7,3,HOU03,Minute Maid Park,Houston,TX,35,5,0,0,2,18,7,2,1,38,5,2,0,2,15,8,6,0
