,game_date,home_team,away_team,is_day_game,venue,venue_name,city,distance_from_last_location_home_team,distance_from_last_location_away_team
1351,20000716,TBA,ATL,True,STP01,Tropicana Field,St. Petersburg,7290.366266978277,8031.943293392625
1352,20000716,TOR,NYN,True,TOR02,Rogers Centre,Toronto,0.0,10370.136876523953
1353,20000717,ARI,SEA,False,PHO01,Chase Field,Phoenix,0.0,1792.4551436881254
1354,20000717,COL,OAK,True,DEN02,Coors Field,Denver,1950.2528819683787,1515.1090221188033
1355,20000717,COL,OAK,False,DEN02,Coors Field,Denver,1950.2528819683787,1515.1090221188033
1356,20000717,LAN,PIT,False,LOS03,Dodger Stadium,Los Angeles,3974.8856076394213,3439.148162606461
1357,20000717,SDN,ANA,False,SAN01,Qualcomm Stadium,San Diego,3915.39807350928,142.21396670803833
1358,20000717,SFN,TEX,False,SFO03,Oracle Park,San Francisco,4175.4954817182615,2362.5298722750576
1359,20000717,BAL,FLO,False,BAL12,Oriole Park at Camden Yards,Baltimore,0.0,1535.9205711528523
1360,20000717,BOS,MON,False,BOS07,Fenway Park,Boston,4010.9713255337056,403.5899130426819
1361,20000717,CHA,MIL,False,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,1315.6827805633404,405.5294155055259
1362,20000717,CLE,HOU,False,CLE08,Progressive Field,Cleveland,496.24153962192827,185.37444076280923
1363,20000717,DET,CIN,False,DET05,Comerica Park,Detroit,3353.596216190899,379.46032692348916
1364,20000717,KCA,CHN,False,KAN06,Kauffman Stadium,Kansas City,1365.4101499105916,10027.467254045505
1365,20000717,MIN,SLN,False,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,0.0,749.9143278472116
1366,20000717,NYA,PHI,False,NYC16,Yankee Stadium I,New York,3926.295550369479,3450.9483903126825
1367,20000717,TBA,ATL,False,STP01,Tropicana Field,St. Petersburg,7290.366266978277,8031.943293392625
1368,20000717,TOR,NYN,False,TOR02,Rogers Centre,Toronto,0.0,10370.136876523953
1369,20000718,ARI,SEA,False,PHO01,Chase Field,Phoenix,0.0,1792.4551436881254
1370,20000718,COL,OAK,True,DEN02,Coors Field,Denver,1950.2528819683787,1515.1090221188033
1371,20000718,LAN,PIT,True,LOS03,Dodger Stadium,Los Angeles,3974.8856076394213,3439.148162606461
1372,20000718,SDN,ANA,True,SAN01,Qualcomm Stadium,San Diego,3915.39807350928,142.21396670803833
1373,20000718,SFN,TEX,False,SFO03,Oracle Park,San Francisco,4175.4954817182615,2362.5298722750576
1374,20000718,BAL,FLO,False,BAL12,Oriole Park at Camden Yards,Baltimore,0.0,1535.9205711528523
1375,20000718,BOS,MON,False,BOS07,Fenway Park,Boston,4010.9713255337056,403.5899130426819
1376,20000718,CHA,MIL,False,CHI12,Guaranteed Rate Field;U.S. Cellular Field,Chicago,1315.6827805633404,405.5294155055259
1377,20000718,CLE,HOU,False,CLE08,Progressive Field,Cleveland,496.24153962192827,185.37444076280923
1378,20000718,DET,CIN,False,DET05,Comerica Park,Detroit,3353.596216190899,379.46032692348916
1379,20000718,KCA,CHN,False,KAN06,Kauffman Stadium,Kansas City,1365.4101499105916,10027.467254045505
1380,20000718,MIN,SLN,False,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,0.0,749.9143278472116
1381,20000718,NYA,PHI,False,NYC16,Yankee Stadium I,New York,3926.295550369479,3450.9483903126825
